ATP5J2-PTCD1	G3V325
MTFMT	Q96DP5
ZBTB10	Q96DT7
ITPKC	Q96DU7
MRPL38	Q96DV4
SLC25A38	Q96DW6
RSPRY1	Q96DX4
TRIM44	Q96DX7
ERLEC1	Q96DZ1
FAM122A	Q96E09
MRRF	Q96E11
C8orf40	Q96E16
MTERFD1	Q96E29
RBMXL1	Q96E39
ELP4	Q96EB1
YIPF6	Q96EC8
SEH1L	Q96EE3
ZHX1-C8ORF76	Q96EF9
C8orf76	Q96EF9
ZHX1	Q96EF9
MALSU1	Q96EH3
GNPNAT1	Q96EK6
FAM120B	Q96EK7
KTI12	Q96EK9
MRPS24	Q96EL2
MRPL53	Q96EL3
C19orf60	Q96EN9
RNF31	Q96EP0
DAZAP1	Q96EP5
CCDC51	Q96ER9
MFSD3	Q96ES6
RRP36	Q96EU6
RBM33	Q96EV2
SMIM12	Q96EX1
DNAJA3	Q96EY1
PTCD3	Q96EY7
MCRS1	Q96EZ8
C11orf24	Q96F05
SAT2	Q96F10
EDC3	Q96F86
RRNAD1	Q96FB5
ELMOD3	Q96FG2
MEF2BNB	Q96FH0
DYNLL2	Q96FJ2
WDR89	Q96FK6
CPNE2	Q96FN4
TSPAN17	Q96FV3
OTUB1	Q96FW1
DPH3	Q96FX2
C3orf37	Q96FZ2
CHMP6	Q96FZ7
IMP4	Q96G21
CERS2	Q96G23
MED8	Q96G25
OTUD5	Q96G74
RMND5B	Q96G75
SLC35A4	Q96G79
LTV1	Q96GA3
MRPL48	Q96GC5
ZNF274	Q96GC6
C9orf123	Q96GE9
RNF185	Q96GF1
LPPR2	Q96GM1
DDX27	Q96GQ7
C17orf59	Q96GS4
FAM108A1	Q96GS6
MARS2	Q96GW9
ATXN7L3B	Q96GX2
APIP	Q96GX9
LIN37	Q96GY3
SLC41A3	Q96GZ6
MSANTD3	Q96H12
SNF8	Q96H20
RBM18	Q96H35
SLC25A44	Q96H78
ZNF764	Q96H86
COQ2	Q96H96
POM121	Q96HA1
PDLIM5	Q96HC4
CRELD1	Q96HD1
ERO1L	Q96HE7
TMEM19	Q96HH6
SENP5	Q96HI0
C7orf55	Q96HJ9
OXNAD1	Q96HP4
ZNF419	Q96HQ0
PGAM5	Q96HS1
MRFAP1L1	Q96HT8
SGSM3	Q96HU1
TMEM41A	Q96HV5
INTS4	Q96HW7
DDRGK1	Q96HY6
ABHD8	Q96I13
PYURF	Q96I23
RBM17	Q96I25
COX14	Q96I36
TMEM141	Q96I45
NARS2	Q96I59
SUCLG2	Q96I99
GMPPA	Q96IJ6
TMEM101	Q96IK0
BOD1	Q96IK1
APOPT1	Q96IL0
ZNF414	Q96IQ9
NGLY1	Q96IV0
RBM41	Q96IZ5
METTL2A	Q96IZ6
RSRC1	Q96IZ7
ITCH	Q96J02
TXNDC15	Q96J42
COG3	Q96JB2
EAF1	Q96JC9
SPG11	Q96JI7
DCAF5	Q96JK2
CHAMP1	Q96JM3
C10orf12	Q96JN0
LCOR	Q96JN0
FEM1C	Q96JP0
ZFP91	Q96JP5
ZFYVE19	Q96K21
C12orf52	Q96K30
SLC35E1	Q96K37
ZNF668	Q96K58
ZBTB45	Q96K62
USP47	Q96K76
ZC3H10	Q96K80
CLPTM1L	Q96KA5
SMIM8	Q96KF7
SCYL1	Q96KG9
EXOC2	Q96KP1
ZFR	Q96KR1
FAM210B	Q96KR6
EGLN2	Q96KS0
MARK4	Q96L34
B3GALT6	Q96L58
NSD1	Q96L73
UBE2E2	Q96LR5
SAMD8	Q96LT4
C9orf89	Q96LW7
PRRC1	Q96M27
HIAT1	Q96MC6
C12orf66	Q96MD2
NSMCE2	Q96MF7
NDNL2	Q96MG7
TCEANC2	Q96MN5
CEP63	Q96MT8
YTHDC1	Q96MU7
COG8	Q96MW5
ZNF48	Q96MX3
C7orf26	Q96N11
PWWP2A	Q96N64
ZNF641	Q96N77
FOPNL	Q96NB1
ZNF830	Q96NB3
ZMAT2	Q96NC0
MUS81	Q96NY9
NSUN5	Q96P11
ACAP3	Q96P50
IPO9	Q96P70
MCEE	Q96PE7
RBM14	Q96PK6
RCHY1	Q96PM5
KLHL5	Q96PQ7
PSMG3	Q96PY0
PUS7	Q96PZ0
TRAPPC9	Q96Q05
TRNT1	Q96Q11
ALS2	Q96Q42
ALKBH3	Q96Q83
YPEL2	Q96QA6
PPP1R10	Q96QC0
SLC38A2	Q96QD8
FYTTD1	Q96QD9
TEFM	Q96QE5
PURB	Q96QR8
PHF12	Q96QT6
PANX1	Q96RD7
NACC1	Q96RE7
SNX18	Q96RF0
CIC	Q96RK0
BBS4	Q96RK4
GFM1	Q96RP9
ERGIC2	Q96RQ1
MCCC1	Q96RQ3
C10orf2	Q96RR1
NUDCD1	Q96RS6
PCNX	Q96RV3
WDR24	Q96S15
JMJD8	Q96S16
C16orf13	Q96S19
RAB40C	Q96S21
TP53RK	Q96S44
PIGS	Q96S52
WRNIP1	Q96S55
CLCC1	Q96S66
UBL7	Q96S82
LYSMD1	Q96S90
CCNL2	Q96S94
ZNF347	Q96SE7
DIRC2	Q96SL1
FIZ1	Q96SL8
IWS1	Q96ST2
OSBPL9	Q96SU4
CRBN	Q96SW2
ADO	Q96SZ5
CDK5RAP1	Q96SZ6
SECISBP2	Q96T21
RBM15	Q96T37
RUFY1	Q96T51
SPEN	Q96T58
PNKP	Q96T60
MMS19	Q96T76
YME1L1	Q96TA2
RMDN3	Q96TC7
TCF12	Q99081
TBCB	Q99426
PSMB7	Q99436
ATP6V0B	Q99437
SEC62	Q99442
CDC5L	Q99459
PSMD1	Q99460
SDF2	Q99470
PFDN5	Q99471
PARK7	Q99497
NEU1	Q99519
DNAJC2	Q99543
PIK3R4	Q99570
SCAF11	Q99590
ZBTB18	Q99592
TIMM17A	Q99595
TSNAX	Q99598
TTC1	Q99614
DNAJC7	Q99615
C12orf57	Q99622
PHB2	Q99623
COPS8	Q99627
PRPF18	Q99633
SDHC	Q99643
CHP1	Q99653
ATXN2	Q99700
HSD17B10	Q99714
SMAD5	Q99717
SIGMAR1	Q99720
HNRNPAB	Q99729
NAP1L4	Q99733
PIP5K1A	Q99755
TXN2	Q99757
ATP5S	Q99766
TM9SF2	Q99805
TSG101	Q99816
CIB1	Q99828
CPNE1	Q99829
CCT7	Q99832
EBNA1BP2	Q99848
HAUS7	Q99871
PRMT1	Q99873
BAG1	Q99933
RNF5	Q99942
AGPAT1	Q99943
AKAP9	Q99996
ARPC5L	Q9BPX5
MICU1	Q9BPX6
C7orf25	Q9BPX7
FAM118B	Q9BPY3
PAIP2	Q9BPZ3
MAPKAP1	Q9BPZ7
NABP2	Q9BQ15
ELAC2	Q9BQ52
C19orf43	Q9BQ61
USB1	Q9BQ65
GRWD1	Q9BQ67
TCF25	Q9BQ70
KLHDC3	Q9BQ90
ECSIT	Q9BQ95
WDR77	Q9BQA1
HINFP	Q9BQA5
DPH2	Q9BQC3
MRP63	Q9BQC6
KXD1	Q9BQD3
FAM173A	Q9BQD7
TUBA1C	Q9BQE3
VIMP	Q9BQE4
APOL2	Q9BQE5
BCL7B	Q9BQE9
MYBBP1A	Q9BQG0
EIF2AK1	Q9BQI3
MGME1	Q9BQP7
GORASP1	Q9BQQ3
ZSWIM1	Q9BR11
ACBD6	Q9BR61
LSMD1	Q9BRA0
NAA38	Q9BRA0
TXNDC17	Q9BRA2
VPS25	Q9BRG1
MRPL45	Q9BRJ2
C7orf50	Q9BRJ6
SDF4	Q9BRK5
SRSF8	Q9BRL6
SEC22C	Q9BRL7
TM2D3	Q9BRN9
WIBG	Q9BRP8
PYGO2	Q9BRQ0
NUDT22	Q9BRQ3
RIOK1	Q9BRS2
MNF1	Q9BRT2
MIEN1	Q9BRT3
UTP23	Q9BRU9
SIKE1	Q9BRV8
PELO	Q9BRX2
SLC39A3	Q9BRY0
TRIM56	Q9BRZ2
ANAPC13	Q9BS18
ERP44	Q9BS26
ZNF649	Q9BS31
C12orf44	Q9BSB4
NOL10	Q9BSC4
NTPCR	Q9BSD7
HERPUD2	Q9BSE4
PRADC1	Q9BSG0
TACO1	Q9BSH4
HDHD3	Q9BSH5
TINF2	Q9BSI4
TUBGCP2	Q9BSJ2
PCGF1	Q9BSM1
CCM2	Q9BSQ5
YIPF4	Q9BSR8
TSEN34	Q9BSV6
CHCHD5	Q9BSY4
INPP5K	Q9BT40
POLR3GL	Q9BT43
THAP7	Q9BT49
NDFIP1	Q9BT67
COPS4	Q9BT78
WAC	Q9BTA9
DIDO1	Q9BTC0
RBM42	Q9BTD8
DCTN5	Q9BTE1
MCMBP	Q9BTE3
AARSD1	Q9BTE6
DCUN1D5	Q9BTE7
PAGR1	Q9BTK6
URM1	Q9BTM9
LRFN3	Q9BTN0
ANP32E	Q9BTT0
MED10	Q9BTT4
PI4K2A	Q9BTU6
WDR85	Q9BTV6
TBCD	Q9BTW9
THTPA	Q9BU02
LMF2	Q9BU23
NDUFAF3	Q9BU61
DOHH	Q9BU89
MKNK1	Q9BUB5
TMEM70	Q9BUB7
POLR3C	Q9BUI4
ABHD14A	Q9BUJ0
HNRNPUL1	Q9BUJ2
CHCHD7	Q9BUK0
PHF23	Q9BUL5
DERL1	Q9BUN8
HTATIP2	Q9BUP3
DDX23	Q9BUQ8
WRAP53	Q9BUR4
C20orf24	Q9BUV8
C9orf16	Q9BUW7
C1orf50	Q9BV19
MRI1	Q9BV20
C15orf57	Q9BV29
WDR18	Q9BV38
THUMPD3	Q9BV44
ADI1	Q9BV57
RNF126	Q9BV68
EMC6	Q9BV81
NTMT1	Q9BV86
SNRNP25	Q9BV90
FICD	Q9BVA6
MLST8	Q9BVC4
C2orf49	Q9BVC5
PBDC1	Q9BVG4
UTP14A	Q9BVJ6
ALG8	Q9BVK2
TMED9	Q9BVK6
TMEM147	Q9BVK8
SELO	Q9BVL4
GNL3	Q9BVP2
SPATA5L1	Q9BVQ7
RIOK2	Q9BVS4
TMUB1	Q9BVT8
TIMM21	Q9BVV7
TMEM106C	Q9BVX2
NUP85	Q9BW27
ELOVL1	Q9BW60
DDA1	Q9BW61
CINP	Q9BW66
HIGD2A	Q9BW72
IFT27	Q9BW83
CCDC94	Q9BW85
NUDT9	Q9BW91
FAM127B	Q9BWD3
REPIN1	Q9BWE0
RBM4	Q9BWF3
SCNM1	Q9BWG6
FUNDC2	Q9BWH2
SF3B5	Q9BWJ5
C7orf49	Q9BWK5
C1orf43	Q9BWL3
PRR14	Q9BWN1
CHID1	Q9BWS9
LSM14B	Q9BX40
HINT2	Q9BX68
BTBD2	Q9BX70
TM2D2	Q9BX73
TM2D1	Q9BX74
TMEM120A	Q9BXJ8
NAA15	Q9BXJ9
BCL2L13	Q9BXK5
PINK1	Q9BXM7
QTRT1	Q9BXR0
TMEM59	Q9BXS4
AP1M1	Q9BXS5
C14orf142	Q9BXV9
CECR5	Q9BXW7
MAK16	Q9BXY0
DGCR6L	Q9BY27
ITPA	Q9BY32
HDAC8	Q9BY41
RTFDC1	Q9BY42
CHMP4A	Q9BY43
EIF2A	Q9BY44
POLDIP3	Q9BY77
RNF26	Q9BY78
DUSP16	Q9BY84
MRPL32	Q9BYC8
MRPL20	Q9BYC9
MRPL13	Q9BYD1
MRPL9	Q9BYD2
MRPL4	Q9BYD3
MRPL1	Q9BYD6
MKI67IP	Q9BYG3
YTHDF1	Q9BYJ9
RBCK1	Q9BYM8
MRPS26	Q9BYN8
SETD2	Q9BYW2
PANK2	Q9BZ23
MRPL37	Q9BZE1
PUS3	Q9BZE2
GTPBP4	Q9BZE4
ASPSCR1	Q9BZE9
DPH1	Q9BZG8
UPF3B	Q9BZI7
CRNKL1	Q9BZJ0
SLC25A39	Q9BZJ4
UBL5	Q9BZL1
PLA2G12A	Q9BZM1
EDEM3	Q9BZQ6
TRIM8	Q9BZR9
UBXN6	Q9BZV1
UCK2	Q9BZX2
API5	Q9BZZ5
DPY30	Q9C005
INO80B	Q9C086
SETD5	Q9C0A6
FTO	Q9C0B1
ZDHHC5	Q9C0B5
TANGO6	Q9C0B7
AMBRA1	Q9C0C7
KIAA1715	Q9C0E8
WDR33	Q9C0J8
WDR12	Q9GZL7
YIPF3	Q9GZM5
NDEL1	Q9GZM8
PITHD1	Q9GZP4
DERL2	Q9GZP9
COMMD5	Q9GZQ3
SENP6	Q9GZR1
DDX24	Q9GZR7
POLR1E	Q9GZS1
WDR61	Q9GZS3
SLIRP	Q9GZT3
SRR	Q9GZT4
NIF3L1	Q9GZT8
C6orf62	Q9GZU0
MCOLN1	Q9GZU1
FAM192A	Q9GZU8
COA1	Q9GZY4
MFF	Q9GZY8
NAA50	Q9GZZ1
UBA5	Q9GZZ9
MKRN2	Q9H000
LHPP	Q9H008
NACA2	Q9H009
MTFR1L	Q9H019
TMEM126A	Q9H061
PAIP1	Q9H074
MIS12	Q9H081
LSG1	Q9H089
NAT10	Q9H0A0
ILKAP	Q9H0C8
TOLLIP	Q9H0E2
SHARPIN	Q9H0F6
NSRP1	Q9H0G5
KLHL25	Q9H0H3
CSTF2T	Q9H0L4
WWP1	Q9H0M0
NT5C3	Q9H0P0
AP5M1	Q9H0R1
TMEM222	Q9H0R3
QRSL1	Q9H0R6
DDX47	Q9H0S4
MAGT1	Q9H0U3
RAB1B	Q9H0U4
MRPL18	Q9H0U6
TSPYL1	Q9H0U9
TMEM168	Q9H0V1
ITFG3	Q9H0X4
GZF1	Q9H116
DNTTIP1	Q9H147
SIL1	Q9H173
XYLT2	Q9H1B5
IRF2BPL	Q9H1B7
NUCKS1	Q9H1E3
TMX4	Q9H1E5
ISCU	Q9H1K1
OSBPL2	Q9H1P3
ATG5	Q9H1Y0
WDR13	Q9H1Z4
VPS16	Q9H269
ARV1	Q9H2C2
SLC25A32	Q9H2D1
EPC1	Q9H2F5
BLZF1	Q9H2G9
C9orf37	Q9H2J1
MTIF3	Q9H2K0
TNKS2	Q9H2K2
TMEM60	Q9H2L4
RAB3GAP2	Q9H2M9
ADNP	Q9H2P0
DPH5	Q9H2P9
DHX36	Q9H2U1
PPA2	Q9H2U2
SPNS1	Q9H2V7
MRPL46	Q9H2W6
PARL	Q9H300
CDIP1	Q9H305
PNN	Q9H307
GGNBP2	Q9H3C7
SNX25	Q9H3E2
DPAGT1	Q9H3H5
C12orf65	Q9H3J6
GHITM	Q9H3K2
MMADHC	Q9H3L0
TMX1	Q9H3N1
ACBD3	Q9H3P7
PTPN23	Q9H3S7
DNAJC5	Q9H3Z4
CHMP4B	Q9H444
RWDD1	Q9H446
CUEDC2	Q9H467
FBXL15	Q9H469
POFUT1	Q9H488
PIGU	Q9H490
TOR3A	Q9H497
RNPEP	Q9H4A4
GOLPH3	Q9H4A6
SAV1	Q9H4B6
ZHX3	Q9H4I2
C22orf32	Q9H4I9
GTPBP5	Q9H4K7
SENP3	Q9H4L4
ZNF335	Q9H4Z2
PCIF1	Q9H4Z3
ESF1	Q9H501
ZNF644	Q9H582
C11orf1	Q9H5F2
TAF1D	Q9H5J8
SGK196	Q9H5K3
TFB2M	Q9H5Q4
IKZF5	Q9H5V7
CXorf56	Q9H5V9
FAM96A	Q9H5X1
OCEL1	Q9H607
ZNF576	Q9H609
OBFC1	Q9H668
ASB7	Q9H672
HAUS4	Q9H6D7
TUT1	Q9H6E5
CCDC86	Q9H6F5
C6orf106	Q9H6K1
OPA3	Q9H6K4
ARMC7	Q9H6L4
NARFL	Q9H6Q4
DHX33	Q9H6R0
NOL6	Q9H6R4
AZI2	Q9H6S1
RPAP3	Q9H6T3
ALG9	Q9H6U8
TMEM134	Q9H6X4
WDR55	Q9H6Y2
RNF167	Q9H6Y7
RANBP3	Q9H6Z4
ASB8	Q9H765
DCTPP1	Q9H773
RPF2	Q9H7B2
WDR26	Q9H7D7
TDRD3	Q9H7E2
C8orf33	Q9H7E9
TMEM185B	Q9H7F4
METTL17	Q9H7H0
SCAF1	Q9H7N4
NAA60	Q9H7X0
NRDE2	Q9H7Z3
KAT8	Q9H7Z6
PTGES2	Q9H7Z7
PHAX	Q9H814
UBE2Z	Q9H832
GEMIN7	Q9H840
ACAD9	Q9H845
YY1AP1	Q9H869
RMND5A	Q9H871
PRKRIP1	Q9H875
CSRP2BP	Q9H8E8
NOL11	Q9H8H0
C10orf88	Q9H8K7
COQ10B	Q9H8M1
BRD9	Q9H8M2
CNNM2	Q9H8M5
SRD5A3	Q9H8P0
AKTIP	Q9H8T0
ZFAND3	Q9H8U3
FAM204A	Q9H8W3
GORASP2	Q9H8Y8
HN1L	Q9H910
RNF121	Q9H920
MED20	Q9H944
ACTR8	Q9H981
MARCH7	Q9H992
PANK3	Q9H999
LRRC40	Q9H9A6
RMI1	Q9H9A7
EHMT1	Q9H9B1
ZNF408	Q9H9D4
COG4	Q9H9E3
ACTR5	Q9H9F9
MRPL44	Q9H9J2
KANSL2	Q9H9L4
AKIRIN1	Q9H9L7
COPS7B	Q9H9Q2
FKRP	Q9H9S5
ELP3	Q9H9T3
JMJD4	Q9H9V9
RPF1	Q9H9Y2
GPN2	Q9H9Y4
ZMAT3	Q9HA38
UCK1	Q9HA47
CARS2	Q9HA77
RSAD1	Q9HA92
PPCS	Q9HAB8
UBTD1	Q9HAC8
WDR41	Q9HAD4
MEAF6	Q9HAF1
SAP30L	Q9HAJ7
UPF2	Q9HAU5
GRPEL1	Q9HAV7
BRF2	Q9HAW0
MAGEF1	Q9HAY2
C12orf10	Q9HB07
PLEKHA1	Q9HB21
RC3H2	Q9HBD1
PATZ1	Q9HBE1
ZFYVE1	Q9HBF4
RDH14	Q9HBH5
PLGRKT	Q9HBL7
VEZT	Q9HBM0
SND1	Q9HBX3
TMBIM4	Q9HC24
RNMTL1	Q9HC36
GPBP1L1	Q9HC44
SENP2	Q9HC62
METTL14	Q9HCE5
ARHGEF10L	Q9HCE6
GBA2	Q9HCG7
CWC22	Q9HCG8
KIAA1586	Q9HCI6
ANKH	Q9HCJ1
CHD8	Q9HCK8
FBRSL1	Q9HCM7
TRIM39	Q9HCM9
GPN1	Q9HCN4
PREB	Q9HCU5
BRMS1	Q9HCU9
SRA1	Q9HD15
MRS2	Q9HD23
GOPC	Q9HD26
MRPL47	Q9HD33
LYRM4	Q9HD34
CHMP1A	Q9HD42
TM9SF3	Q9HD45
RANGRF	Q9HD47
WDR6	Q9NNW5
DNAJC4	Q9NNZ3
ARFGAP3	Q9NP61
HMG20A	Q9NP66
RAB18	Q9NP72
SSU72	Q9NP77
VTA1	Q9NP79
PNPLA8	Q9NP80
POLM	Q9NP87
MRPS30	Q9NP92
DYNLRB1	Q9NP97
EMC7	Q9NPA0
MID1IP1	Q9NPA3
ENY2	Q9NPA8
CCNB1IP1	Q9NPC3
MYNN	Q9NPC7
EXOSC4	Q9NPD3
NGRN	Q9NPE2
NOP10	Q9NPE3
CD320	Q9NPF0
OSGEP	Q9NPF4
DMAP1	Q9NPF5
ZDHHC4	Q9NPG8
BRD7	Q9NPI1
KRCC1	Q9NPI7
MKKS	Q9NPJ1
ACOT13	Q9NPJ3
PNRC2	Q9NPJ4
MED4	Q9NPJ6
TIMMDC1	Q9NPL8
RIC8A	Q9NPQ8
GPR108	Q9NPR9
AKIP1	Q9NQ31
TMEM9B	Q9NQ34
MRPL40	Q9NQ50
PPAN	Q9NQ55
C12orf5	Q9NQ88
RTN4	Q9NQC3
RPRD1B	Q9NQG5
SMCR7L	Q9NQG6
PFDN4	Q9NQP4
SLC35C2	Q9NQQ7
SETD8	Q9NQR1
NIT2	Q9NQR4
XPNPEP1	Q9NQW7
GPHN	Q9NQX3
UTP3	Q9NQZ2
STARD7	Q9NQZ5
ACSS2	Q9NR19
DIABLO	Q9NR28
DDX21	Q9NR30
SAR1A	Q9NR31
POLE4	Q9NR33
NANS	Q9NR45
EIF2B3	Q9NR50
PDGFC	Q9NRA1
CHST12	Q9NRB3
ST7	Q9NRC1
FBXO6	Q9NRD1
PICK1	Q9NRD5
POLE3	Q9NRF9
CHRAC1	Q9NRG0
SDR39U1	Q9NRG7
ABCB10	Q9NRK6
ZNF277	Q9NRM2
AASDHPPT	Q9NRN7
METTL5	Q9NRN9
CMC2	Q9NRP2
DROSHA	Q9NRR4
UBQLN4	Q9NRR5
HEBP1	Q9NRV9
DUSP22	Q9NRW4
PNO1	Q9NRX1
MRPL17	Q9NRX2
PHPT1	Q9NRX4
SERINC1	Q9NRX5
TMEM167B	Q9NRX6
ARHGAP35	Q9NRY4
FAM114A2	Q9NRY5
AGPAT3	Q9NRZ7
C1GALT1	Q9NS00
GLRX2	Q9NS18
CREBZF	Q9NS37
TOPORS	Q9NS56
TOMM22	Q9NS69
CHST7	Q9NS84
CTNNBIP1	Q9NSA3
FARSB	Q9NSD9
IARS2	Q9NSE4
KLC4	Q9NSK0
ATG3	Q9NT62
SIRT3	Q9NTG7
MAN2C1	Q9NTJ4
OLA1	Q9NTK5
ECHDC1	Q9NTX5
RNF146	Q9NTX7
RBM12	Q9NTZ6
GINM1	Q9NU53
ZCCHC3	Q9NUD5
TMEM14B	Q9NUH8
ABHD10	Q9NUJ1
STAU2	Q9NUL3
TMEM106B	Q9NUM4
LMBRD1	Q9NUN5
BLOC1S4	Q9NUP1
LIN7C	Q9NUP9
TXLNG	Q9NUQ3
UFSP2	Q9NUQ7
ABCF3	Q9NUQ8
DDX19A	Q9NUU7
TBC1D23	Q9NUY8
DCAF13	Q9NV06
IMP3	Q9NV31
NUDT15	Q9NV35
TMEM39A	Q9NV64
TYW1	Q9NV66
EXOC1	Q9NV70
TMEM30A	Q9NV96
UQCC	Q9NVA1
TMEM184C	Q9NVA4
PANK4	Q9NVE7
FBXO28	Q9NVF7
EXD2	Q9NVH0
DNAJC11	Q9NVH1
TMLHE	Q9NVH6
ATAD3A	Q9NVI7
ARL8B	Q9NVJ2
FGFR1OP2	Q9NVK5
PRMT7	Q9NVM4
DNAJC17	Q9NVM6
ASUN	Q9NVM9
DDX18	Q9NVP1
INTS10	Q9NVR2
DNAAF2	Q9NVR5
TBCCD1	Q9NVR7
MRPS18A	Q9NVS2
PNPO	Q9NVS9
ARMC1	Q9NVT9
POLR3E	Q9NVU0
SDAD1	Q9NVU7
MTPAP	Q9NVV4
KBTBD4	Q9NVX7
RBM28	Q9NW13
PLEKHJ1	Q9NW61
BSDC1	Q9NW68
ATP5SL	Q9NW81
WDR70	Q9NW82
TMEM248	Q9NWD8
RNF216	Q9NWF9
TMEM242	Q9NWH2
SLTM	Q9NWH9
ASNSD1	Q9NWL6
C14orf119	Q9NWQ9
PIH1D1	Q9NWS0
RMND1	Q9NWS8
ZNF446	Q9NWS9
PAK1IP1	Q9NWT1
AURKAIP1	Q9NWT8
GID8	Q9NWU2
MRPL22	Q9NWU5
C1orf123	Q9NWV4
BABAM1	Q9NWV8
NMRK1	Q9NWW6
ASB6	Q9NWX5
C4orf27	Q9NWY4
UCKL1	Q9NWZ5
GEMIN8	Q9NWZ8
TXNL4B	Q9NX01
C1orf109	Q9NX04
TRNAU1AP	Q9NX07
NDUFB11	Q9NX14
SDHAF2	Q9NX18
MRPL16	Q9NX20
NHP2	Q9NX24
C20orf111	Q9NX31
FAM206A	Q9NX38
OCIAD1	Q9NX40
ADPRHL2	Q9NX46
MARCH5	Q9NX47
HYPK	Q9NX55
TMEM161A	Q9NX61
IMPAD1	Q9NX62
CHCHD3	Q9NX63
ZSCAN32	Q9NX65
MED29	Q9NX70
WBP1L	Q9NX94
SIRT5	Q9NXA8
SMPD4	Q9NXE4
CWC25	Q9NXE8
P4HTM	Q9NXG6
TRMT1	Q9NXH9
PGPEP1	Q9NXJ5
ANKRD10	Q9NXR5
BRE	Q9NXR7
DNAJB12	Q9NXW2
NSMCE4A	Q9NXX6
SLC39A1	Q9NY26
PPP4R2	Q9NY27
AATF	Q9NY61
DDX56	Q9NY93
TERF2IP	Q9NYB0
BCLAF1	Q9NYF8
ZDHHC3	Q9NYG2
ANAPC11	Q9NYG5
UTP6	Q9NYH9
COA4	Q9NYJ1
TAB2	Q9NYJ8
NKIRAS2	Q9NYR9
WSB2	Q9NYS7
ZNF226	Q9NYT6
CDK12	Q9NYV4
RRN3	Q9NYV6
RBAK	Q9NYW8
FASTKD2	Q9NYY8
TVP23B	Q9NYZ1
TECR	Q9NZ01
ERAP1	Q9NZ08
UBAP1	Q9NZ09
ACTR10	Q9NZ32
PSENEN	Q9NZ42
USE1	Q9NZ43
CISD1	Q9NZ45
C9orf78	Q9NZ63
FAM120A	Q9NZB2
GDE1	Q9NZC3
SMARCAL1	Q9NZC9
GLTP	Q9NZD2
SPG21	Q9NZD8
MRPL35	Q9NZE8
UBP1	Q9NZI7
EIF2AK3	Q9NZJ5
MTCH1	Q9NZJ7
HSPBP1	Q9NZL4
MAT2B	Q9NZL9
CNOT2	Q9NZN8
NCKIPSD	Q9NZQ3
BFAR	Q9NZS9
OGFR	Q9NZT2
CHMP5	Q9NZZ3
COMMD9	Q9P000
CNIH4	Q9P003
CWC15	Q9P013
MRPL15	Q9P015
THYN1	Q9P016
CRIPT	Q9P021
CCDC59	Q9P031
NDUFAF4	Q9P032
JKAMP	Q9P055
MED11	Q9P086
EMC3	Q9P0I2
NDUFA13	Q9P0J0
MRPL36	Q9P0J6
KCMF1	Q9P0J7
VAPA	Q9P0L0
MRPL27	Q9P0M9
MARCH2	Q9P0N8
TBC1D7	Q9P0N9
RNF181	Q9P0P0
COX16	Q9P0S2
ORMDL1	Q9P0S3
TMEM14C	Q9P0S9
TMEM9	Q9P0T7
TOMM7	Q9P0U1
CXXC1	Q9P0U4
HMG20B	Q9P0W2
ERICH1	Q9P1A6
ZNRD1	Q9P1U0
PHRF1	Q9P1Y6
VPS18	Q9P253
BCCIP	Q9P287
KIAA1430	Q9P2B7
IBTK	Q9P2D0
KLHL8	Q9P2G9
CPSF2	Q9P2I0
PDP2	Q9P2J9
EIF2AK4	Q9P2K8
TBC1D14	Q9P2M4
RBM27	Q9P2N5
KANSL3	Q9P2N6
ANKFY1	Q9P2R3
SUCLA2	Q9P2R7
GMPR2	Q9P2T1
ATXN10	Q9UBB4
MBD2	Q9UBB5
TFIP11	Q9UBB9
NFKBIL1	Q9UBC1
SAE1	Q9UBE0
RNF7	Q9UBF6
PI4KB	Q9UBF8
COMMD3	Q9UBI1
STOML1	Q9UBI4
MTRR	Q9UBK8
UXT	Q9UBK9
ASH2L	Q9UBL3
HDAC6	Q9UBN7
VPS29	Q9UBQ0
EIF3K	Q9UBQ5
GRHPR	Q9UBQ7
RPS6KB2	Q9UBS0
DNAJB9	Q9UBS3
DNAJB11	Q9UBS4
RNF14	Q9UBS8
UBA2	Q9UBT2
POLK	Q9UBT6
FAM8A1	Q9UBU6
NXF1	Q9UBU9
SEL1L	Q9UBV2
B4GALT7	Q9UBV7
PEF1	Q9UBV8
ZMYM2	Q9UBW7
COPS7A	Q9UBW8
APEX2	Q9UBZ4
UQCR10	Q9UDW1
ZMAT5	Q9UDW3
DAXX	Q9UER7
FTSJ1	Q9UET6
VTI1B	Q9UEU0
FBXL17	Q9UF56
CGGBP1	Q9UFW8
ABCF2	Q9UG63
ZRANB1	Q9UGI0
TUBGCP4	Q9UGJ1
SERGEF	Q9UGK8
WARS2	Q9UGM6
POLL	Q9UGP5
SEC63	Q9UGP8
ZC3H7B	Q9UGR2
TCF20	Q9UGU0
HMGXB4	Q9UGU5
NOL12	Q9UGY1
SRRD	Q9UH36
ARMCX3	Q9UH62
MLX	Q9UH92
SUN2	Q9UH99
SS18L2	Q9UHA2
LAMTOR3	Q9UHA4
AFF4	Q9UHB7
SRP68	Q9UHB9
TBK1	Q9UHD2
UBQLN2	Q9UHD9
PCYOX1	Q9UHG3
IP6K2	Q9UHH9
DPP7	Q9UHL4
USP25	Q9UHP3
NARF	Q9UHQ1
BCAP29	Q9UHQ4
